TS,IT,IH,OT,OH,HP
82,18.9556,45.1100,1.9444,83.5000,53.5075
83,18.9833,45.1000,1.2111,86.0000,53.9075
84,18.9222,45.1000,0.7389,88.3000,58.2825
85,18.7167,45.1100,0.7056,88.7000,58.2825
86,18.9389,45.1000,0.7556,88.6000,58.0000
87,19.1222,44.9700,0.6500,88.9000,57.7750
88,18.9833,44.9400,0.4333,89.5000,57.9000
89,18.7222,44.9400,0.3111,90.1000,57.9000
90,18.8500,45.4200,-0.0056,90.9000,58.3700
91,18.9111,47.1500,0.3556,91.2000,58.6950
92,18.8056,46.8300,0.5333,90.9000,58.7275
93,18.6833,46.3200,0.6667,90.0000,58.7275
94,18.9000,46.0200,0.6944,90.1000,58.6325
95,18.9611,45.8700,0.6056,90.2000,58.8825
96,18.9333,45.6100,0.3278,90.7000,45.8200
1,18.7167,45.5200,-0.1444,91.9000,45.7888
2,18.8278,45.3400,-0.4444,93.3000,45.8838
3,18.9556,45.2300,-0.7944,93.9000,45.7588
4,18.7111,45.0600,-1.1444,94.5000,42.7263
5,18.6444,45.0100,-1.3611,95.4000,42.7575
6,18.8000,44.8400,-1.5167,95.9000,41.6625
7,18.9000,44.8400,-1.3444,96.3000,34.2825
8,18.7056,44.7000,-1.0722,96.3000,31.9700
9,18.6111,44.6800,-0.9167,96.0000,31.9388
10,18.7611,44.4800,-0.7111,95.5000,32.0013
11,18.8278,44.4000,-0.4833,93.2000,31.9388
12,18.6667,44.2200,-0.4389,92.8000,31.9388
13,18.5778,44.2400,-0.4833,92.6000,31.9388
14,18.8056,44.2300,-0.5722,92.3000,31.6263
15,18.8556,44.1200,-0.6278,92.6000,27.3763
16,18.6167,44.1300,-0.5667,92.4000,27.3450
17,18.6278,44.0800,-0.4500,92.0000,27.3763
18,18.7833,44.0700,-0.1556,91.1000,27.5963
19,18.8000,43.9300,0.0500,89.7000,27.5638
20,18.6889,43.8900,0.2889,87.6000,27.5950
21,18.7278,43.9100,0.4278,87.7000,27.5638
22,18.8944,43.9200,0.6111,86.6000,28.7513
23,18.8167,43.8900,0.7056,86.8000,29.6263
24,18.6667,43.9500,0.7556,87.9000,29.5950
25,18.6611,44.0000,0.9222,88.2000,29.6263
26,18.8167,44.0500,0.8722,89.6000,29.4688
27,18.7722,43.9500,0.9000,90.1000,33.8138
28,18.5167,44.0500,0.9667,89.8000,33.8450
29,18.6000,44.0500,1.1333,88.2000,33.8138
30,18.7944,44.0400,1.1722,86.7000,33.9713
31,18.8833,44.0900,1.1889,86.6000,38.2513
32,18.6500,44.1100,1.2389,87.0000,38.2200
33,18.6389,44.1600,1.2222,87.8000,38.2513
34,18.9167,44.7800,1.1556,88.4000,37.8763
35,18.9889,45.6600,1.2056,88.7000,39.7263
36,18.5500,46.2100,1.3056,88.8000,42.0075
37,18.6556,45.6500,1.2556,88.8000,42.0075
38,18.7778,45.3800,1.3667,89.0000,41.8200
39,18.8833,45.3500,1.5611,89.1000,35.1575
40,18.7444,45.4100,1.9000,88.2000,32.9075
41,18.7278,45.5300,2.0000,88.1000,32.8763
42,18.8722,45.4600,2.2889,87.3000,32.9388
43,18.9111,45.4500,2.4889,86.5000,28.7838
44,18.7333,45.4200,2.6389,86.3000,28.7838
45,18.7056,45.4300,2.9889,85.3000,28.8150
46,18.8722,45.3800,3.2944,83.6000,29.1575
47,18.8833,45.3000,3.5944,83.3000,29.5950
48,18.7944,45.2900,4.1222,81.8000,29.5950
49,18.8111,45.3500,4.3111,81.5000,29.5638
50,19.1333,45.3900,5.6000,75.6000,29.6263
51,19.0222,45.4800,6.5389,74.2700,29.5938
52,18.8722,45.6900,7.7722,70.0900,29.5938
53,19.0722,45.8300,8.1444,68.2900,29.6250
54,19.3444,46.5900,9.7167,65.7000,30.1250
55,19.4222,46.7800,9.9333,66.4000,30.2500
56,19.0333,46.9600,10.2167,65.4900,30.2188
57,18.9333,47.0400,9.4778,67.7300,30.2188
58,19.1222,47.1100,9.6833,67.5900,30.4688
59,19.2778,47.1900,10.1944,66.2800,30.5313
60,19.1056,47.4200,11.0778,63.9200,30.5625
61,18.9778,47.5600,11.8556,62.2700,30.5313
62,19.3111,47.6000,11.8778,62.4400,30.3763
63,19.2500,47.7200,12.0222,62.7200,34.9088
64,18.8722,47.9600,12.2333,63.2600,34.9088
65,18.8000,48.1300,12.1333,63.2700,34.9400
66,19.2056,48.2600,12.7722,62.3700,35.0325
67,19.1167,48.4000,12.7167,64.4400,34.8750
68,18.9000,48.5500,12.4500,64.6200,34.8750
69,18.8222,48.7300,12.1500,64.7300,34.8438
70,19.0556,48.8300,11.7222,66.7000,34.2188
71,19.0556,48.9500,11.4889,67.3100,40.3438
72,18.8611,49.0000,11.0944,67.7200,42.6263
73,18.9556,49.1500,10.5611,69.1300,42.6575
74,19.1611,49.6400,10.1500,71.1500,42.0650
